payment_id,account_id,cohort,payment_usd,period
O6QfR06N8dQAO,DNQ5GR1Mq4QtQA3,2020-06,30,7
NVQfR06N8dQA4,ksQ5GR1TT4QtQAD,2020-09,50,3
QZQfR06N8dQA4,7kQ5GR1Ao4QtQAF,2020-03,47.12,10
QXQfR06N8dQA4,LGQ5GR1Ao4QtQA3,2020-03,405.32,10
QWQfR06N8dQA4,z4Q5GR1Ao4QtQAF,2020-12,36.05,1
QVQfR06N8dQA4,3QQ5GR1Ao4QtQAV,2020-03,280.98,10
QSQfR06N8dQA4,NgQ5GR1Ao4QtQAN,2020-03,133.46,10
QRQfR06N8dQA4,evQ5GR1T54QtQAB,2020-10,8232.21,3
QPQfR06N8dQA4,Q8Q5GR1bY4QtQAO,2020-12,75,1
QOQfR06N8dQA4,4WQ5GR1T34QtQAR,2020-09,75,4
QNQfR06N8dQA4,OsQ5GR1bY4QtQAO,2020-12,75,1
QJQfR06N8dQA4,WlQ5GR1L64QtQAN,2020-06,250,6
QIQfR06N8dQA4,wUQ5GR06N4QtQAS,2020-03,250,10
QgQfR06N8dQAO,3RQ5GR1Ao4QtQAV,2020-03,135.11,10
QdQfR06N8dQAO,hxQ5GR1O24QtQAB,2020-08,114.45,5
QCQfR06N8dQA4,UbQ5GR1EI4QtQAP,2020-07,50,6
QBQfR06N8dQA4,QKQ5GR1244QtQAY,2020-03,50,10
QaQfR06N8dQAO,bCQ5GR1Be4QtQAV,2020-03,241.19,10
QAQfR06N8dQA4,D8Q5GR1Mq4QtQAJ,2020-07,50,6
Q9QfR06N8dQAO,CNQ5GR1T34QtQAZ,2020-09,30,4
PYQfR06N8dQA4,Q8Q5GR1YP4QtQAL,2020-11,1645.48,1
PWQfR06N8dQA4,GvQ5GR1Be4QtQAN,2020-02,50.39,11
PVQfR06N8dQA4,GiQ5GR1Ao4QtQAN,2020-03,245.85,10
PUQfR06N8dQA4,fkQ5GR1Wy4QtQAF,2020-12,516.06,1
PSQfR06N8dQA4,nmQ5GR1Wf4QtQAB,2020-11,2124.87,1
PRQfR06N8dQA4,7NQ5GR1bY4QtQAW,2020-12,75,1
PQQfR06N8dQA4,JGQ5GR1bY4QtQA4,2020-12,75,1
PHQfR06N8dQA4,YcQ5GR1Bf4QtQAN,2020-03,250,10
PGQfR06N8dQA4,cgQ5GR1bY4QtQAC,2020-12,250,1
PFQfR06N8dQA4,cHQ5GR0BH4QtQAX,2020-02,250,11
PEQfR06N8dQA4,p8Q5GR0t34QtQAA,2020-03,250,10
PDQfR06N8dQA4,jpQ5GR11E4QtQAG,2020-03,250,10
PcQfR06N8dQAO,A5Q5GR1Ux4QtQAN,2020-10,992.47,2
PCQfR06N8dQA4,CrQ5GR0jd4QtQAI,2020-03,250,10
PaQfR06N8dQAO,D2Q5GR1Ao4QtQAN,2020-03,12.32,10
PAQfR06N8dQA4,VUQ5GR1de4QtQA2,2021-01,125,0
P5QfR06N8dQAO,15Q5GR1bY4QtQAG,2020-12,30,1
P4QfR06N8dQAO,qxQ5GR1bY4QtQAG,2020-12,30,1
OPQfR06N8dQA4,r4Q5GR1J04QtQAF,2020-04,68.52,9
ONQfR06N8dQA4,YeQ5GR1Wk4QtQAJ,2020-11,2550.55,1
OMQfR06N8dQA4,edQ5GR1O34QtQAB,2020-09,706.55,4
OIQfR06N8dQA4,sfQ5GR0KC4QtQAH,2020-02,2276.1,11
OGQfR06N8dQA4,tHQ5GR19Y4QtQAW,2020-02,1130,11
OFQfR06N8dQA4,8HQ5GR0t34QtQAQ,2020-03,500,10
O5QfR06N8dQAO,WmQ5GR1bY4QtQAO,2020-12,30,1
O4QfR06N8dQAO,yqQ5GR19b4QtQAA,2020-03,25,10
QUQfR06N8dQA4,pOQ5GR1NY4QtQAT,2020-08,430.59,5
QLQfR06N8dQA4,MsQ5GR1VD4QtQAP,2020-10,500,3
QHQfR06N8dQA4,3aQ5GR0Sy4QtQAB,2020-03,250,10
QGQfR06N8dQA4,aWQ5GR1de4QtQAU,2021-01,250,0
QfQfR06N8dQAO,5GQ5GR0Kx4QtQAR,2020-03,952.41,10
QFQfR06N8dQA4,b3Q5GR1Ux4QtQAB,2020-10,250,3
QEQfR06N8dQA4,xlQ5GR14q4QtQAA,2020-03,250,10
QDQfR06N8dQA4,fFQ5GR1O24QtQAR,2020-07,125,5
Q8QfR06N8dQAO,X8Q5GR1de4QtQAI,2021-01,30,0
PPQfR06N8dQA4,nnQ5GR1de4QtQAE,2021-01,75,0
POQfR06N8dQA4,f6Q5GR1J04QtQAF,2020-04,1500,9
PLQfR06N8dQA4,S5Q5GR1Rj4QtQAN,2020-09,500,4
PKQfR06N8dQA4,pFQ5GR1R24QtQAR,2020-09,500,4
PJQfR06N8dQA4,WvQ5GR1bX4QtQAK,2020-12,500,1
PbQfR06N8dQAO,GzQ5GR0KB4QtQAL,2020-03,853.29,10
P8QfR06N8dQAO,pQQ5GR1O24QtQAV,2020-07,50,6
P7QfR06N8dQAO,emQ5GR10p4QtQAA,2020-03,50,10
P3QfR06N8dQAO,6IQ5GR1Uy4QtQAV,2020-10,30,3
P2QfR06N8dQAO,BAQ5GR1Uy4QtQA3,2020-10,30,3
OOQfR06N8dQA4,sqQ5GR1T34QtQAB,2020-09,2531.04,4
OKQfR06N8dQA4,1MQ5GR1Mq4QtQAR,2020-07,2437.96,5
OJQfR06N8dQA4,pEQ5GR1NY4QtQAT,2020-08,53.23,5
OHQfR06N8dQA4,mzQ5GR1de4QtQAE,2021-01,150,0
ODQfR06N8dQA4,BTQ5GR1Ux4QtQAZ,2020-10,250,3
OCQfR06N8dQA4,VUQ5GR1de4QtQA2,2021-01,125,0
O9QfR06N8dQAO,osQ5GR1T34QtQAF,2020-09,50,4
O8QfR06N8dQAO,oDQ5GR0T04QtQAV,2020-03,50,10
O7QfR06N8dQAO,8uQ5GR1O24QtQAB,2020-07,50,6
pAQfR06N8dQAW,XDQ5GR1Ox4QtQA3,2020-10,1481.19,3
p9QfR06N8dQAG,AuQ5GR0Tz4QtQAN,2020-03,1678.38,10
p8QfR06N8dQAG,GEQ5GR1Uy4QtQA3,2020-11,114.67,2
p7QfR06N8dQAG,q6Q5GR1d64QtQAA,2021-01,500,0
p6QfR06N8dQAG,cLQ5GR1Bg4QtQAR,2020-03,250,10
p5QfR06N8dQAG,KVQ5GR1bX4QtQA4,2021-01,250,0
p4QfR06N8dQAG,mEQ5GR1Zx4QtQAV,2021-01,93.56,0
p3QfR06N8dQAG,mCQ5GR1T44QtQAR,2020-09,250,4
nZQfR06N8dQAW,qtQ5GR1SD4QtQAD,2020-09,50,4
nYQfR06N8dQAW,5LQ5GR1Bg4QtQAR,2020-02,297,10
nXQfR06N8dQAW,MkQ5GR14p4QtQAI,2020-03,250,10
nnQfR06N8dQAG,OTQ5GR1Bg4QtQAZ,2020-03,141.72,10
nmQfR06N8dQAG,4pQ5GR1KH4QtQAH,2020-07,1309.03,6
nlQfR06N8dQAG,JEQ5GR1UV4QtQA5,2020-10,820.02,3
nkQfR06N8dQAG,MuQ5GR14p4QtQAI,2020-03,1400,10
njQfR06N8dQAG,XgQ5GR14p4QtQAI,2020-03,700,10
niQfR06N8dQAG,xeQ5GR06N4QtQAC,2020-03,99,10
nhQfR06N8dQAG,1jQ5GR0Po4QtQAB,2020-03,375,10
ngQfR06N8dQAG,kEQ5GR1cf4QtQAQ,2021-01,250,0
nfQfR06N8dQAG,QgQ5GR1RQ4QtQAP,2020-08,250,5
neQfR06N8dQAG,fVQ5GR0Qw4QtQAV,2021-01,250,0
ncQfR06N8dQAG,ckQ5GR1Sn4QtQAF,2020-09,50,4
nbQfR06N8dQAG,M7Q5GR1SZ4QtQAP,2020-09,50,4
naQfR06N8dQAG,yzQ5GR1RQ4QtQAD,2020-08,50,5
oNQfR06N8dQAW,kkQ5GR1de4QtQAE,2021-01,75,0
oIQfR06N8dQAW,vzQ5GR06N4QtQAC,2020-03,299,10
ocQfR06N8dQAG,nUQ5GR1EK4QtQAT,2020-03,1122.39,10
oBQfR06N8dQAW,dxQ5GR1RP4QtQAD,2020-08,500,5
o0QfR06N8dQAG,HsQ5GR0bv4QtQAI,2020-03,100,10
nzQfR06N8dQAG,8QQ5GR1Bh4QtQAR,2020-05,50,8
nxQfR06N8dQAG,KBQ5GR1UA4QtQA1,2020-10,50,3
nwQfR06N8dQAG,R5Q5GR1de4QtQAI,2021-01,50,0
nsQfR06N8dQAG,mBQ5GR1de4QtQAU,2021-01,30,0
nrQfR06N8dQAG,TRQ5GR1R44QtQAZ,2020-08,30,5
n4QfR06N8dQAG,8NQ5GR1Kh4QtQAR,2020-06,831.67,7
n0QfR06N8dQAG,3RQ5GR1O14QtQAR,2020-07,439.9,6
mvQfR06N8dQAG,u8Q5GR1Fo4QtQAB,2020-03,1094.62,10
mUQfR06N8dQAW,xVQ5GR1dV4QtQAS,2021-01,125,0
muQfR06N8dQAG,ZJQ5GR1R44QtQAZ,2020-08,300,5
mtQfR06N8dQAG,1OQ5GR1Ux4QtQAR,2020-10,75,3
msQfR06N8dQAG,YzQ5GR1R44QtQAJ,2020-08,90,5
mrQfR06N8dQAG,g5Q5GR1Iz4QtQAB,2020-04,162.5,9
mNQfR06N8dQAW,9hQ5GR1Ui4QtQAF,2020-10,50,3
mMQfR06N8dQAW,IyQ5GR1254QtQAM,2020-03,50,10
mGQfR06N8dQAW,jMQ5GR1de4QtQAU,2021-01,30,0
mgQfR06N8dQAG,Z8Q5GR1Wt4QtQAJ,2020-11,250,2
mfQfR06N8dQAG,Z3Q5GR1JQ4QtQAL,2020-04,250,9
meQfR06N8dQAG,F3Q5GR1Jr4QtQAN,2020-08,250,5
mdQfR06N8dQAG,r1Q5GR0t34QtQAA,2020-03,250,10
oUQfR06N8dQAW,FyQ5GR1Ux4QtQAN,2020-10,674.37,3
oQQfR06N8dQAW,kjQ5GR1de4QtQAE,2021-01,300,0
oPQfR06N8dQAW,2RQ5GR0bx4QtQAQ,2020-03,150,10
oMQfR06N8dQAW,BkQ5GR1dd4QtQAM,2021-01,75,0
oHQfR06N8dQAW,09Q5GR1T44QtQAF,2020-10,252.5,3
oGQfR06N8dQAW,lTQ5GR1ci4QtQAQ,2021-01,180,0
oFQfR06N8dQAW,xCQ5GR1Uh4QtQAR,2020-10,975,3
oeQfR06N8dQAG,RCQ5GR0KB4QtQA1,2020-03,952.97,10
oDQfR06N8dQAW,qsQ5GR0t34QtQAA,2020-03,500,10
odQfR06N8dQAG,1bQ5GR07s4QtQAE,2020-03,7880.29,10
oCQfR06N8dQAW,vaQ5GR0Kx4QtQAB,2020-03,500,10
obQfR06N8dQAG,IQQ5GR1We4QtQA3,2020-11,8157.08,2
o7QfR06N8dQAG,IMQ5GR1ay4QtQA2,2021-01,250,0
o6QfR06N8dQAG,njQ5GR1cj4QtQAA,2021-01,250,0
o4QfR06N8dQAG,xVQ5GR1dV4QtQAS,2021-01,125,0
nyQfR06N8dQAG,bIQ5GR1T34QtQAV,2020-09,50,4
nvQfR06N8dQAG,14Q5GR1Mq4QtQAF,2020-10,50,3
nBQfR06N8dQAW,IRQ5GR1We4QtQA3,2020-11,1045.32,2
nAQfR06N8dQAW,KkQ5GR0hc4QtQAM,2020-03,1666.2,10
n5QfR06N8dQAG,5FQ5GR1Wd4QtQAV,2020-12,1959.21,1
mVQfR06N8dQAW,URQ5GR1d64QtQA2,2021-01,125,0
mqQfR06N8dQAG,mVQ5GR1L34QtQAR,2020-05,4000,7
mpQfR06N8dQAG,V2Q5GR1Kg4QtQAJ,2020-05,500,8
moQfR06N8dQAG,GQQ5GR1Kg4QtQAZ,2020-05,500,8
mjQfR06N8dQAG,MqQ5GR1VD4QtQAP,2020-10,250,3
miQfR06N8dQAG,RzQ5GR1Hu4QtQAJ,2020-03,250,10
mhQfR06N8dQAG,6KQ5GR1R44QtQAV,2020-08,250,4
mFQfR06N8dQAW,lIQ5GR1de4QtQAU,2021-01,30,0
mEQfR06N8dQAW,tcQ5GR1dd4QtQAE,2021-01,30,0
mcQfR06N8dQAG,m0Q5GR1Uh4QtQAB,2020-10,250,3
mbQfR06N8dQAG,YIQ5GR1Ux4QtQA3,2020-10,250,3
oZQfR06N8dQAW,KqQ5GR1R24QtQAJ,2020-09,12.97,4
oYQfR06N8dQAW,mQQ5GR1Fn4QtQAV,2020-03,3554.32,10
oWQfR06N8dQAW,SxQ5GR1PT4QtQAP,2020-08,2221.33,5
oRQfR06N8dQAW,X0Q5GR1L64QtQAN,2020-07,510,6
oJQfR06N8dQAW,swQ5GR1Ww4QtQAF,2020-11,75,2
oaQfR06N8dQAG,BPQ5GR1bY4QtQA4,2020-12,1091.84,1
o9QfR06N8dQAG,P6Q5GR0KB4QtQAL,2020-03,500,10
o8QfR06N8dQAG,tBQ5GR1SC4QtQAT,2020-09,500,4
ntQfR06N8dQAG,WcQ5GR1Ow4QtQAN,2020-08,50,5
nqQfR06N8dQAG,O9Q5GR1Ww4QtQAN,2020-11,30,2
npQfR06N8dQAG,sSQ5GR1Ww4QtQAR,2020-11,30,2
noQfR06N8dQAG,mKQ5GR1db4QtQAQ,2021-01,30,0
nDQfR06N8dQAW,k6Q5GR1b54QtQAE,2020-12,1571.69,0
nCQfR06N8dQAW,vtQ5GR1Nc4QtQAF,2020-07,782.47,6
n8QfR06N8dQAG,TUQ5GR0KC4QtQA1,2020-09,5176.58,4
n6QfR06N8dQAG,HiQ5GR1Wy4QtQAN,2020-12,1076.46,1
n2QfR06N8dQAG,QhQ5GR1RQ4QtQAP,2020-08,1357.72,4
n1QfR06N8dQAG,iRQ5GR1264QtQAQ,2020-03,1813.41,10
mYQfR06N8dQAW,JBQ5GR1Fn4QtQAZ,2020-03,250,10
mXQfR06N8dQAW,SrQ5GR0sh4QtQAM,2020-03,250,10
mxQfR06N8dQAG,IrQ5GR0t34QtQAM,2020-03,3594.49,10
mWQfR06N8dQAW,4BQ5GR1Ou4QtQAR,2020-08,250,5
mTQfR06N8dQAW,C6Q5GR1bO4QtQAK,2020-12,125,1
mkQfR06N8dQAG,apQ5GR12C4QtQAC,2020-03,500,10
mJQfR06N8dQAW,foQ5GR0bw4QtQAA,2020-03,50,10
mIQfR06N8dQAW,jbQ5GR1Fn4QtQAF,2020-09,50,4
mHQfR06N8dQAW,A3Q5GR1Ux4QtQAJ,2020-10,50,3
mDQfR06N8dQAW,YvQ5GR1Ww4QtQAN,2020-11,30,2
mCQfR06N8dQAW,jjQ5GR1db4QtQAA,2021-01,30,0
mBQfR06N8dQAW,weQ5GR1dH4QtQAG,2021-01,30,0
oXQfR06N8dQAW,rHQ5GR0mU4QtQAW,2020-03,2189.95,10
oVQfR06N8dQAW,xCQ5GR14q4QtQAQ,2020-03,46.4,10
oTQfR06N8dQAW,9wQ5GR0p54QtQAE,2020-03,2200.73,10
oSQfR06N8dQAW,nQQ5GR0hc4QtQAQ,2020-06,4303.24,7
oOQfR06N8dQAW,SKQ5GR1R24QtQA3,2020-08,150,5
oLQfR06N8dQAW,9mQ5GR1Wc4QtQAB,2020-11,75,2
oKQfR06N8dQAW,k4Q5GR1R24QtQAF,2020-08,75,5
oEQfR06N8dQAW,QgQ5GR17G4QtQAO,2020-03,81.25,10
oAQfR06N8dQAW,hkQ5GR1O24QtQAB,2020-07,500,5
o5QfR06N8dQAG,sNQ5GR0bw4QtQAQ,2020-03,250,10
o3QfR06N8dQAG,L1Q5GR1Ha4QtQAJ,2020-03,125,10
o2QfR06N8dQAG,9cQ5GR0rg4QtQAA,2020-07,275,6
nuQfR06N8dQAG,zdQ5GR1Wg4QtQAF,2020-11,50,2
n9QfR06N8dQAG,9lQ5GR1Sn4QtQAB,2020-10,1131.89,3
n7QfR06N8dQAG,nBQ5GR1Ic4QtQAR,2020-04,999.51,9
n3QfR06N8dQAG,TiQ5GR1We4QtQAN,2020-11,748.64,2
mZQfR06N8dQAW,aSQ5GR1HY4QtQAX,2020-03,250,10
mzQfR06N8dQAG,ROQ5GR1Mp4QtQAZ,2020-06,888.77,7
myQfR06N8dQAG,XZQ5GR1L34QtQAZ,2020-07,1249.11,6
mwQfR06N8dQAG,0hQ5GR1Mp4QtQAB,2020-06,861.56,7
mPQfR06N8dQAW,iFQ5GR0hb4QtQAU,2020-03,100,10
mOQfR06N8dQAW,33Q5GR0bw4QtQAE,2021-01,100,0
mnQfR06N8dQAG,wnQ5GR06N4QtQAC,2020-03,500,10
mmQfR06N8dQAG,UGQ5GR1Sn4QtQAZ,2020-09,500,4
mLQfR06N8dQAW,lQQ5GR11E4QtQAS,2020-03,50,10
mlQfR06N8dQAG,pZQ5GR17H4QtQAW,2020-03,500,10
mKQfR06N8dQAW,qTQ5GR1cf4QtQAU,2020-12,50,1
maQfR06N8dQAG,VPQ5GR1WS4QtQA1,2020-11,250,2
p1QfR06N8dQAG,mmQ5GR0Ov4QtQAF,2020-03,2830.62,10
ozQfR06N8dQAG,CaQ5GR1b54QtQAI,2020-12,300,0
oyQfR06N8dQAG,qdQ5GR1b54QtQAE,2020-12,150,0
oxQfR06N8dQAG,EeQ5GR1Mq4QtQAN,2020-07,150,6
ovQfR06N8dQAG,yzQ5GR1b54QtQAA,2020-12,75,0
ouQfR06N8dQAG,JlQ5GR0sh4QtQAM,2020-03,500,10
osQfR06N8dQAG,c0Q5GR1Uv4QtQAB,2020-10,250,3
orQfR06N8dQAG,YRQ5GR0zP4QtQA4,2020-03,250,10
oqQfR06N8dQAG,jfQ5GR0p34QtQAE,2020-03,250,10
opQfR06N8dQAG,aGQ5GR1WP4QtQAT,2020-11,250,2
okQfR06N8dQAG,bmQ5GR1Wu4QtQAF,2020-11,1035,2
ojQfR06N8dQAG,VoQ5GR0ff4QtQAI,2020-03,100,10
oiQfR06N8dQAG,GvQ5GR1HX4QtQAL,2020-03,50,10
ohQfR06N8dQAG,oNQ5GR14q4QtQAQ,2020-03,50,10
